SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y
TL47 22-01,19.81076255,1.243801478,443320.1748443320.1748443320.1748,21618532.96
TL47 22-03,16.19813513,0.796865085,443327.8756443327.8756,14413364.95
TL47 ALD Border Pit,37.62985,1.1133985,442445.144442445.144442445.144442445.144,28828301.49
TL47 ALD Pit,6.2664,0.645672927,442445.144442445.144442445.144,21621226.12
TL47 ALD Trench 1,14.2814,0.832724918,442445.144442445.144442445.144,21621226.12
TL47 ALD Trench 2 ,20.6992,0.841259154,442445.144442445.144442445.144442445.144,28828301.49
TL47 DoubleTree Pit 1,16.1568,1.085266916,442376.25442376.25442376.25,21619527.58
TL47 FGLB-1,31.644225,1.622725,442690.453442690.453442690.453,21620241.81
TL47 GullyPit 1,15.078375,1.089299358,442478.1254442478.1254442478.1254,21619741.07
TL47 Midslope Failure,10.377,0.832436004,442432.2698442432.2698,14413721.4
TL47 NPF-1,20.88140533,1.455153733,443032.1486443032.1486443032.1486443032.1486443032.1486,36033178.59
TL47 NPF-10,16.458125,1.0038625,442764.7193442764.7193,14413205.87
TL47 NPF-11,13.43374,0.852875,"442280.8113	7206507.473442280.811442280.811",14413014.94
TL47 NPF-6,11.20490778,0.711385865,442558.0278442558.0278442558.0278,21619613.38
TL47 NPF-8,8.70609375,0.7378125,442286.9891442286.9891442286.9891,21619528.75
TL47 PF Core 1,48.12829869,1.45111971,0,0
TL47-22-02,24.09820988,1.369860661,443327.4946443327.4946443327.4946,21619987.26
TL47-22-04,74.6828,1.87902,442836.9109442836.9109,14412670.26
TL47-22-05,17.14824396,1.071410287,442931.557442931.557442931.557442931.557,28825190.59
TL47_Slice1,22.89526317,1.5041,442490.672,7206851.66
TL47_Slice2,12.97969304,0.990768,442465.5127442465.5127,14413595.5
TL47_Slice3,21.33532252,1.660637594,442442.8978442442.8978,14413477.54
TL47_Slice4,23.9926973,1.520502444,442483.3593442483.3593,14413463.72
TL47_Slice5,35.58534432,1.92361934,442507.4654442507.4654,14413320.1
TL47_Slice7,11.43590902,0.504463517,442671.6503,7206658.006
TL47_Slice8,10.06523803,0.409226,442744.5118442744.5118,14413294.04