Site,SampleLocationName,Total_C_stock_kg_m2_0to50cm,Total_N_stock_kg_m2_0to50cm,X,Y,mean_disp_rate,soc_0_20,snow,elev,slope,aspect,drainagearea,curv,ndvi,pf
TL47,TL47 DoubleTree Pit 1,12.528,0.814039232,442376.25,7206509.194,0.053399278,3.23,161.77238,234.5219,19.18076,66.43745,225.24202,0.001856463,0.7672785,1
TL47,TL47 NPF-1,17.31361716,1.621916171,443032.1486,7206635.717,0.018643975,5.26,149.21773,114.165665,10.293542,171.65306,301.17963,-0.018759113,0.7371511,0
TL47,TL47 NPF-10,16.458125,1.0038625,442764.7193,7206602.935,0.037396445,10.78,154.2544,120.68056,14.088451,110.479034,239.49442,-0.010120655,0.8160291,0
TL47,TL47 NPF-8,19.7971875,0.807,442286.9891,7206509.583,0.020148184,4.96,161.71593,263.16513,20.05566,81.70352,130.50029,-0.011842031,0.7451822,1
TL47,TL47-22-05,15.93378562,1.071410287,442931.557,7206297.648,0.036212265,8.64,145.7215,98.78889,8.663725,88.8889,117.38016,0.000391178,0.6827711,1
TL47,TL47_Slice3,21.33532252,1.660637594,442442.8978,7206738.769,0.034250618,8.16,145.73427,228.09933,18.394537,116.90115,194.51947,-0.00935005,0.70684564,1
TL47,TL47_Slice7,11.43590902,0.504463517,442671.6503,7206658.006,0.060855338,2.96,134.7718,149.854,16.13796,106.08143,55.211212,0.02184386,0.7313896,0.8888889
TL47,TL47_Slice8,10.06523803,0.409226,442744.5118,7206647.02,0.053271168,2.03,145.77454,130.31557,12.553925,103.004715,217.03459,0.002421808,0.7542013,0.8888889
TL27,TL27 NonPF Core 13,10.97933222,0.317406241,454134.5091,7180197.471,0.018760678,3.73,136,263.21964,3.5545733,155.37804,29.0239,0.000440072,0.71414566,0.44444445
TL27,TL27 NonPF Core 3,11.13929251,0.647086356,454827.9905,7178958.053,0.01519083,10.16,117,128.31755,5.2814155,144.86572,175.10281,1.66E-05,0.71839774,0.6666667
TL27,TL27 NonPF Core 6,5.819435085,0.502992321,454795.3518,7178932.015,0.01519083,4.47,117,127.541664,5.18236,164.85281,62.977016,0.002140679,0.67782015,0.44444445
TL27,TL27 NonPF Core 8,5.682283491,0.417070949,454802.4897,7178928.341,0.01519083,4.49,117,127.105995,4.841823,146.08742,98.88038,0.002011257,0.68941677,1
TL27,TL27 NonPF Core 9,20.60685122,0.885234513,454352.6583,7179642.101,0.029773863,8.03,117,216.59967,6.243268,150.18915,29.666853,0.003112488,0.7199883,0.11111111
TL27,TL27 PF Core 15,18.66561714,1.142120501,454917.1268,7178742.05,0.024249427,25.7,117,107.87566,3.2404706,165.08734,40.545822,0.00214477,0.7131923,0.44444445
TL27,TL27 PF Core 16,27.53810499,1.776466637,454923.3143,7178738.502,0.02748256,27.495,117,107.27311,4.8559384,151.97311,42.540745,0.002833914,0.6747711,1